,monomer_smiles,duplicate,iteration_num,failed,temperature_k,concentration_actual_molal,conductivity_s_per_cm,anion_diffusivity_cm2_per_s,cation_diffusivity_cm2_per_s,polymer_diffusivity_cm2_per_s,transference_number,transference_number_ne,conductivity_ne_s_per_cm,density_g_per_cm3
42,*CC(N)C*,False,1,False,353.0,1.4162865,0.0002276463875,3.56704315e-08,4.26096805e-08,3.358165925e-08,0.5273680075,0.5410215700000001,0.000289469525,1.1579791
43,*OCCOCCOC*,False,1,False,353.0,1.4654733,0.001481012725,2.55824685e-07,1.918447575e-07,2.446311225e-07,0.403225685,0.4293294775,0.001880954075,1.284141275
44,*CC(=O)*,False,1,False,353.0,1.4094949,7.072868e-05,1.4387282199999999e-08,1.65183992e-08,1.62285372e-08,0.384422808,0.532192604,0.0001441723132,1.4656275
45,*SC*,False,1,False,353.0,1.4153552,9.142488e-05,1.1978983e-07,2.437228e-07,1.7633948e-07,0.30633363,0.6704658,0.0017957259,1.5474743
46,*OC(=O)*,False,1,True,,,,,,,,,,
47,*C(=O)CN*,False,1,True,,,,,,,,,,
48,*OCCOC(O)*,False,1,False,353.0,1.476239,0.0007395504575,6.649224775000001e-08,1.18395595e-07,6.80170885e-08,0.6139826075,0.6361185525,0.000900883225,1.48158895
49,*OCCO*,False,1,True,,,,,,,,,,
0,*SCCOCCOC*,True,2,False,,,,,,,,,,
1,*NCCN*,False,2,False,353.0,1.4899164,0.000430137832,6.2883947e-08,5.5800548599999996e-08,5.8875269e-08,0.46245011599999997,0.47350627999999995,0.000487440334,1.2408073800000001
2,*COCCOCCN*,False,2,False,353.0,1.4776187,0.0009718648999999999,1.75062072e-07,1.45591103e-07,1.6674577e-07,0.43121565000000006,0.45309789599999994,0.00131577128,1.2469316
3,*COC*,True,2,False,,,,,,,,,,
4,*SC(=O)*,False,2,True,,,,,,,,,,
5,*OCCCOC*,False,2,False,353.0,1.4362702,0.001605377875,3.036334225e-07,1.7922043250000002e-07,2.5487418000000003e-07,0.3613797125,0.371477225,0.0019198641250000002,1.2326698999999999
6,*SCC*,False,2,False,353.0,1.4682251,0.00017855639,2.15211365e-07,4.38030465e-07,3.37532765e-07,0.588822875,0.668479475,0.00292488595,1.3667041
7,*SCCCOCCN*,False,2,False,353.0,1.3945222,0.0007752343825000001,1.795954575e-07,1.3733358e-07,1.729656075e-07,0.3971675575,0.4367599175,0.0012833986,1.2821898
8,*CCOC*,True,2,False,,,,,,,,,,
9,*COC(=O)C*,False,2,True,,,,,,,,,,
10,*ONCCCN*,False,2,False,353.0,1.4362059,0.000361424178,6.281483500000001e-08,7.84216832e-08,6.65172922e-08,0.541852644,0.5578567839999999,0.00058946737,1.29401156
11,*ONCC*,False,2,True,,,,,,,,,,
12,*C(N)CCN*,False,2,False,353.0,1.3883588,0.0001358829425,2.0528315749999998e-08,2.7104536e-08,1.9656587e-08,0.55320587,0.5716904924999999,0.00018842417,1.2561966
13,*SCCOC*,False,2,False,353.0,1.4752344,0.0015009829199999999,3.87329574e-07,3.56209084e-07,2.96331562e-07,0.297995864,0.47893822799999997,0.0033952016000000002,1.38923128
14,*OCCCON*,False,2,False,353.0,1.420547,0.00151662598,2.6420915e-07,2.0017673799999998e-07,2.24535362e-07,0.408998866,0.430536352,0.00195980592,1.3185641000000001
15,*OCCSCCOC*,False,2,False,353.0,1.4909093,0.0010570748566666665,2.6099952000000003e-07,1.6684518e-07,2.1983830333333333e-07,0.3145946366666667,0.3890263233333333,0.0018911199999999998,1.3347058666666667
16,*S(=O)COC*,False,2,True,,,,,,,,,,
17,*COCCOC*,True,2,False,,,,,,,,,,
18,*OCCSCCN*,False,2,False,353.0,1.4502438,0.0009634263,2.352443375e-07,2.66758515e-07,2.0190259500000002e-07,0.458633145,0.53311131,0.0021705293,1.331318775
19,*SCCNOCCN*,False,2,True,,,,,,,,,,
20,*OOCCOCCN*,False,2,False,353.0,1.4534779,0.001313384325,2.62438115e-07,2.0460030000000002e-07,2.37413495e-07,0.40033126,0.43521688999999997,0.002034652825,1.33927965
21,*OCCCC*,False,2,False,353.0,1.471419,0.000589220068,3.53047586e-07,3.52966956e-07,3.57750632e-07,0.0736925744,0.499099062,0.0026038953199999998,1.12412688
22,*OCCCCON*,False,2,False,353.0,1.4500748,0.0009321522840000001,2.00128292e-07,1.8198793200000002e-07,1.67702038e-07,0.431954426,0.47586635800000004,0.001569885,1.26511102
23,*C(C)OC*,False,2,False,353.0,1.3925327,0.0004331713525,1.93637125e-07,1.299932875e-07,1.895240925e-07,0.14345915925,0.40481206000000003,0.00113788235,1.11452975
