mol_smiles	conductivity
CCOCCNCC(COC(=O)[Au])O[Cu]	1
N#CCN(CCOCCO[Cu])CCOC(=O)[Au]	1
O=C(CCOC(=O)[Au])NCCCOCCO[Cu]	0
CC(C(=O)O)N(C)C(=O)C(COC(=O)[Au])N[Cu]	0
CC(C)(C)OC(=O)NC(CN[Cu])CNC(=O)[Au]	0
CC(C)CCC(N[Cu])C(=O)NCCNC(=O)[Au]	0
CC(CCOC(=O)[Au])N(C)CCOCCO[Cu]	1
O=C([Au])OCCSCCN[Cu]	1
COCCCN(C)CC(CO[Cu])OC(=O)[Au]	1
C#CCN(C)CC(OC(=O)[Au])C(C)(C)O[Cu]	0
COCCN(CCCCOC(=O)[Au])CCO[Cu]	1
CCOCCC(=O)NCC(CO[Cu])OC(=O)[Au]	1
CCC=C(F)C(=O)NCC(CNC(=O)[Au])O[Cu]	0
C#CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
CN(CCO[Cu])CCOCCOC(=O)[Au]	1
COCCN(CCNC(=O)[Au])CCO[Cu]	1
C=CC(O[Cu])C(=O)NCC(C)(C)OC(=O)[Au]	0
C#CCC(N[Cu])C(=O)NCCNC(=O)[Au]	0
COCCOCCNC(CO[Cu])COC(=O)[Au]	1
CCC(CC)CNC(CO[Cu])C(C)OC(=O)[Au]	0
O=C(CO[Cu])NCCCCCCOC(=O)[Au]	1
CCCC(C)(N[Cu])C(=O)NCC(C)NC(=O)[Au]	0
CC(C)N(CCO[Cu])CCOCCOC(=O)[Au]	1
CCC(CSCCC(C)(C)OC(=O)[Au])O[Cu]	0
CCC(CNCC(COC)OC(=O)[Au])O[Cu]	0
CCC(CO[Cu])C(=O)NCC(C)OC(=O)[Au]	0
CCC(CN(CCNC(=O)[Au])CCO[Cu])OC	0
CC(OC(=O)[Au])C(=O)NCC(F)(F)CO[Cu]	0
CC(CN(C)CCOCCN[Cu])OC(=O)[Au]	1
CCC(CNCC=CCO[Cu])OC(=O)[Au]	1
O=C(CO[Cu])NCCCCCOC(=O)[Au]	1
CN(CCNC(=O)[Au])CC(C)(C)N[Cu]	0
CCCC(=O)NCC(CNC(=O)[Au])O[Cu]	0
C#CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
CCOCCN(C)CC(OC(=O)[Au])C(C)O[Cu]	1
C=CCN(C)CC(COC(=O)[Au])O[Cu]	1
O=C(CCO[Cu])NCCNCCOC(=O)[Au]	1
C#CCCCN(C)CC(C)(CO[Cu])COC(=O)[Au]	0
CC(C)CSCC(CO[Cu])OC(=O)[Au]	0
NOCCNC(=O)CC(CNC(=O)[Au])O[Cu]	1
CC(CNC(C)(CN[Cu])C(C)C)OC(=O)[Au]	0
O=C([Au])OCCN(CCF)CCO[Cu]	1
CCC(NC(=O)[Au])C(=O)N(C)C(C)CN[Cu]	0
CN(CCCCNC(=O)[Au])CCCN[Cu]	0
CC(C)CC(CNC(=O)CCN[Cu])OC(=O)[Au]	0
O=C(CNCCN[Cu])NCCOC(=O)[Au]	0
CNC(CO[Cu])C(=O)N(C)CCOC(=O)[Au]	0
CC(CCN(C)CCC(C)OC(=O)[Au])O[Cu]	0
CCCCCC(OC(=O)[Au])C(C)O[Cu]	0
CC(CCO[Cu])OC(=O)[Au]	1
CNC(=O)CSCC(COC(=O)[Au])O[Cu]	0
CC(C)NC(CO[Cu])COC(=O)[Au]	0
CCCC(O[Cu])C(C)C(CC)OC(=O)[Au]	0
CCN(CCOCCO[Cu])CC(C)OC(=O)[Au]	1
CCOC(=O)CCNC(CN[Cu])CNC(=O)[Au]	0
O=C([Au])NCCCNCCO[Cu]	1
O=C([Au])OCCOCCOC(=O)CO[Cu]	1
CCC=CCCN(CCO[Cu])CCOC(=O)[Au]	0
O=C(CN[Cu])NCCCOCCOC(=O)[Au]	1
CC(CCO[Cu])NCCCCCOC(=O)[Au]	1
O=C([Au])OCC(=O)OCCCCCO[Cu]	1
CC(CCN[Cu])NCC(CC(F)F)NC(=O)[Au]	0
CC(CCO[Cu])N(C)CCCCOC(=O)[Au]	0
O=C(CCCF)NCC(COC(=O)[Au])O[Cu]	1
COC(=O)C(CNCC(C)O[Cu])OC(=O)[Au]	0
COCCCCN(C)CC(CO[Cu])OC(=O)[Au]	1
O=C([Au])OCCCCCCCCO[Cu]	1
CCCC(CNC(=O)CNC(=O)[Au])O[Cu]	0
COCCCCN(C)CC(CO[Cu])OC(=O)[Au]	1
COCCNC(=O)NC(CO[Cu])COC(=O)[Au]	1
CC(CN[Cu])C(=O)NC(C)(C)CNC(=O)[Au]	0
C=C(CO[Cu])C(=O)NCCCOC(=O)[Au]	1
CN(CC#N)C(=O)C(CNC(=O)[Au])N[Cu]	0
CCCCN(C)C(=O)CC(CNC(=O)[Au])O[Cu]	0
CCC(CN(C)CCCCO[Cu])NC(=O)[Au]	0
COCCC(N[Cu])C(=O)NC(C)CNC(=O)[Au]	0
C=CC=CCCN(CCNC(=O)[Au])CCO[Cu]	1
O=C([Au])NCCNCCNCCCN[Cu]	1
CC(CN(C)CCC(OC(=O)[Au])C(C)C)O[Cu]	0
N#CCN(CCOCCO[Cu])CCOC(=O)[Au]	1
CSCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(C)C(CO[Cu])(NC(=O)[Au])C(=O)O	0
O=C([Au])NCCCOCCOCCCN[Cu]	1
C=CC(OC(=O)[Au])C(=O)NCCOCCO[Cu]	1
C#CCCC(CNC(=O)CCO[Cu])OC(=O)[Au]	0
NC(=O)CSCC(CO[Cu])OC(=O)[Au]	1
COCCCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CCCCOC(=O)[Au])NCCO[Cu]	0
CCSCCN(CCO[Cu])CCOC(=O)[Au]	1
CCCN(CC)C(=O)CC(CNC(=O)[Au])O[Cu]	0
CC(C)C(NC(=O)[Au])C(=O)NCCCCO[Cu]	0
COCC(NC(=O)[Au])C(=O)NOCC(C)N[Cu]	0
CSCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CNCCOCCCO[Cu])OC(=O)[Au]	1
CCC(C(=O)NCCCOC(=O)[Au])C(C)O[Cu]	0
C=CC(O[Cu])C(=O)N(CC)CCCOC(=O)[Au]	0
CCOCCCN(CCO[Cu])CCOC(=O)[Au]	0
CC(CNC(C)C(C)(C)OC(=O)[Au])O[Cu]	0
CC(COC(=O)[Au])NC(=O)CCCCCO[Cu]	0
CCONC(=O)C(CO[Cu])NC(=O)[Au]	0
CN(CCCCO[Cu])CCNC(=O)[Au]	0
O=C([Au])NC(CO[Cu])C(=O)NCC(F)(F)F	0
O=C(CO[Cu])NCCCCCOC(=O)[Au]	1
COC(CN(C)CC(CO[Cu])OC(=O)[Au])OC	1
CCOCCN(C)CC(OC(=O)[Au])C(C)O[Cu]	1
O=C([Au])NCCOCCOCCN[Cu]	1
O=C([Au])NCCSCCSCCN[Cu]	1
CNC(C(=O)N(C)CCO[Cu])C(C)OC(=O)[Au]	0
C#CCOCCNC(CO[Cu])COC(=O)[Au]	0
CNC(=O)C(CNCC(C)OC(=O)[Au])O[Cu]	0
CC(CC#N)N(C)C(=O)C(CNC(=O)[Au])O[Cu]	0
CC(OC(=O)[Au])C(C)(C)N[Cu]	0
CNCC(C)NC(=O)CC(CNC(=O)[Au])O[Cu]	0
CC(CONC(=O)C(C)C(C)NC(=O)[Au])N[Cu]	0
CC(CN[Cu])N(C)CCOCCNC(=O)[Au]	1
CC(=O)CN(CCCO[Cu])CCOC(=O)[Au]	1
O=C(CCOC(=O)[Au])NCCCO[Cu]	0
CC(C#N)CN(C)CC(OC(=O)[Au])C(C)O[Cu]	0
CCN(CCCNC(=O)[Au])CCOCCO[Cu]	1
CC(CCCCOC(=O)[Au])NCCCCO[Cu]	1
C#CCOCCN(C)CC(COC(=O)[Au])O[Cu]	1
CCC(CNC(C)CCCCN[Cu])OC(=O)[Au]	0
CC(C)=CCCC(CO[Cu])OC(=O)[Au]	0
COC(=O)NCC(COC(=O)[Au])O[Cu]	0
COCC(CNC(=O)COC(=O)[Au])O[Cu]	1
CC(CNC(=O)[Au])C(=O)NCCO[Cu]	0
O=C([Au])NCCCCNCCCCN[Cu]	1
CN(CCO[Cu])CCOCCNC(=O)[Au]	1
C#CCCCNC(=O)C(CN[Cu])NC(=O)[Au]	0
O=C([Au])NCC(=O)NCCOCCCN[Cu]	1
CC(CO[Cu])CN(C)CCOCCOC(=O)[Au]	1
N#CCCCCN(CCO[Cu])CCOC(=O)[Au]	1
O=C(CO[Cu])NCCCCCCOC(=O)[Au]	1
CCC(CNCC=CCO[Cu])OC(=O)[Au]	1
C=CCCC(CN(C)CCCO[Cu])OC(=O)[Au]	1
CCC=CCCN(CCN[Cu])CCNC(=O)[Au]	1
CCONCC(CC(C)(C)O[Cu])OC(=O)[Au]	0
COCCN(CC#N)CC(COC(=O)[Au])O[Cu]	1
O=C([Au])NCCNCCCCCNCCN[Cu]	1
COCCCN(CCNC(=O)[Au])CCO[Cu]	1
O=C(CCCCCOC(=O)[Au])NOCCO[Cu]	1
CCC(C)CN(C)CC(O[Cu])C(C)OC(=O)[Au]	0
CC(CN(CCC#N)CCO[Cu])OC(=O)[Au]	1
CC(N[Cu])C(=O)NCCCOC(=O)[Au]	0
O=C([Au])OCCOCCOCCOCCO[Cu]	1
CC(C)(CC(=O)NCCCCO[Cu])NC(=O)[Au]	0
C=CC(CNCC(=O)CCOC(=O)[Au])O[Cu]	1
NC(=O)C(CC(COC(=O)[Au])O[Cu])C(N)=O	0
C=CC(C)(CNC(C)CO[Cu])OC(=O)[Au]	0
C=CC(C)(O[Cu])C(=O)NCCOC(=O)[Au]	1
CNCC(CO[Cu])OC(=O)[Au]	1
CCC(C)(C(CNC(=O)[Au])CO[Cu])N(C)C	0
O=C([Au])OCCNCCOCCO[Cu]	1
COCCCC(=O)NCC(CN[Cu])OC(=O)[Au]	1
C=CC(CNC(CCC)COC(=O)[Au])O[Cu]	0
CCCN(CC(N)=O)CC(COC(=O)[Au])O[Cu]	0
CCCCC(=O)NCC(CNC(=O)[Au])O[Cu]	0
O=C(CO[Cu])NCCCCCCOC(=O)[Au]	1
CC(OC(=O)[Au])C(N[Cu])C(=O)NCC(N)=O	0
CCOCCCNC(=O)C(CO[Cu])NC(=O)[Au]	1
COCC(CNCCOCCOC(=O)[Au])O[Cu]	1
O=C([Au])OCCCCCO[Cu]	1
N#CCCNC(=O)NC(CO[Cu])COC(=O)[Au]	0
CCN(CCCO[Cu])CCOCCNC(=O)[Au]	1
CC(CCSCC(C)(C)O[Cu])OC(=O)[Au]	0
O=C([Au])OCC(N[Cu])C(=O)NCCOCCF	1
O=C([Au])NCCNC(=O)CCC(N[Cu])C(=O)O	0
COCCC(=O)NC(CO[Cu])COC(=O)[Au]	0
O=C([Au])OCCSCCCCCCCO[Cu]	1
C=CC(CNCCCOCCOC(=O)[Au])O[Cu]	1
COCCCN(CCNC(=O)[Au])CCO[Cu]	1
O=C(CNCCN[Cu])NCC(CF)OC(=O)[Au]	0
CC(OC(=O)[Au])C(CO[Cu])NC(=O)CCCF	0
CCN(CC(N)=O)CC(OC(=O)[Au])C(C)O[Cu]	1
C=CCOCC(CNCCCOC(=O)[Au])O[Cu]	1
O=C([Au])NCCSCCCSCCN[Cu]	1
CCCCN(C)CC(C)(CO[Cu])COC(=O)[Au]	0
O=C(CO[Cu])NCCCCCCOC(=O)[Au]	1
CCN(CCCNC(=O)[Au])CCOCCO[Cu]	1
N#CCN(CCCOC(=O)[Au])CCO[Cu]	1
COCCCN(CCO[Cu])CCOC(=O)[Au]	1
O=C([Au])NCCOCCOCCOCCO[Cu]	1
O=C(COC(=O)[Au])NCC(F)(F)CO[Cu]	0
CN(CCNC(=O)COC(=O)[Au])CCO[Cu]	1
CC(C)(CCCO[Cu])CNC(=O)COC(=O)[Au]	0
CC(=O)OCNC(NCO[Cu])NCOC(=O)[Au]	0
CC(C)(C)C#CC(=O)NCC(CO[Cu])OC(=O)[Au]	0
CC(CN(CCC#N)CCO[Cu])OC(=O)[Au]	1
O=C([Au])NCCNCCCCCNCCN[Cu]	1
C=CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
COCC(CNC(=O)COC(=O)[Au])O[Cu]	1
O=C([Au])OCCCOCCN[Cu]	1
O=C([Au])OCCCCNCCCCO[Cu]	1
CC(C)COCCNC(CN[Cu])CNC(=O)[Au]	1
CC(CN(C)C(C)CN[Cu])OC(=O)[Au]	0
CCCCN(CCCOC(=O)[Au])C(=O)CO[Cu]	0
CC(OC(=O)[Au])C(C)N(C)CC(C)(C)CN[Cu]	0
CC(C)OCCN(CCN[Cu])CCOC(=O)[Au]	1
C=CCN(CCO[Cu])CCOCCOC(=O)[Au]	1
C=CC(C)(OC(=O)[Au])C(=O)NCCC(C)N[Cu]	0
CCCCCCN(C)CC(COC(=O)[Au])O[Cu]	0
CC(C#N)NC(=O)C(NC(=O)[Au])C(C)O[Cu]	0
COC(C)CNC(=O)C(CNC(=O)[Au])N[Cu]	0
CN(CCO[Cu])C(=O)CCOC(=O)[Au]	1
COCC(CNC(C)CCO[Cu])OC(=O)[Au]	1
CCC(CNC(C)(COC)COC(=O)[Au])O[Cu]	0
O=C([Au])OCCOCCCN[Cu]	1
CC(C)OC(=O)NC(CO[Cu])COC(=O)[Au]	0
C=C(CC)CN(CCCOC(=O)[Au])CCO[Cu]	0
CCCC(O[Cu])C(C)NC(=O)[Au]	0
CCCC(O[Cu])C(=O)NCCC(C)NC(=O)[Au]	0
O=C([Au])OCCCCCCO[Cu]	1
C=C(CO[Cu])C(=O)NCCCOC(=O)[Au]	1
CCN(CCCOC(=O)[Au])CCC(C)(C)O[Cu]	0
CCC(=O)CNCC(CO[Cu])OC(=O)[Au]	1
C=CC(COC(=O)[Au])NCC(CC#N)O[Cu]	0
CON=CC(=O)NCC(OC(=O)[Au])C(C)O[Cu]	0
O=C([Au])OCCSCCO[Cu]	1
CC(COC(=O)[Au])CSCCCCO[Cu]	1
CC(C)(CO[Cu])COC(=O)[Au]	0
CC(CCO[Cu])NCCCCCOC(=O)[Au]	1
CN(CCCN[Cu])CCOCCNC(=O)[Au]	1
CCC(C#N)(CC)NCC(CO[Cu])OC(=O)[Au]	0
CN(CCCCCOC(=O)[Au])CCCO[Cu]	1
O=C([Au])OCCCSCCOCCO[Cu]	1
CC(COCCOC(=O)[Au])OCCO[Cu]	1
CCN(CCCO[Cu])CCOCCNC(=O)[Au]	1
CCCN(C)C(=O)C(CO[Cu])NC(=O)[Au]	0
CC#CCN(CCO[Cu])CCOC(=O)[Au]	0
CCC(N[Cu])C(=O)NC(C)CC(C)NC(=O)[Au]	0
CCN(CCN(C)C)CC(CO[Cu])OC(=O)[Au]	0
CN(CCCCCCCO[Cu])CCOC(=O)[Au]	1
C[Si](C)(C)CN(CCO[Cu])CCOC(=O)[Au]	0
CSCC(CN(C)C(C)CN[Cu])OC(=O)[Au]	0
COCCN(CCCCOC(=O)[Au])CCO[Cu]	1
O=C([Au])NCCNCCCNCCN[Cu]	1
CN(C)CC(=O)NC(C)(CO[Cu])COC(=O)[Au]	0
CCNC(=O)NCC(CO[Cu])OC(=O)[Au]	0
O=C([Au])OCCN(CCO[Cu])CC(F)F	1
C=CCN(C)CC(COC(=O)[Au])O[Cu]	1
CC(F)(F)C(=O)NCC(CO[Cu])OC(=O)[Au]	0
CC(CNCCCN(C)CCO[Cu])OC(=O)[Au]	1
CC(CONC(=O)C(N[Cu])C(C)C)NC(=O)[Au]	0
CCCC(C)(OC(=O)[Au])C(=O)NCCCO[Cu]	0
O=C(O)CC(CNC(=O)[Au])N[Cu]	0
O=C([Au])NCCC(=O)NCCCO[Cu]	1
CC(C)CC(OC(=O)[Au])C(=O)NCCO[Cu]	0
C=CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
C=CCN(CCNC(=O)[Au])CCO[Cu]	1
CC(CCCOC(=O)[Au])NC(=O)CCCN[Cu]	0
NC(=O)CN(CCO[Cu])CCOC(=O)[Au]	0
COCCC(CNCCC(C)OC(=O)[Au])N[Cu]	1
CC(CO[Cu])OC(C)COC(=O)[Au]	1
CC(CNC(=O)C(O[Cu])C(C)C)COC(=O)[Au]	0
CC(C)CN(C)CC(OC(=O)[Au])C(C)O[Cu]	0
C=CC(C)(CNC(CO[Cu])C(C)C)OC(=O)[Au]	0
CC(CNC(=O)C(N[Cu])C(C)(C)C)NC(=O)[Au]	0
COCC(CN(C)CCCO[Cu])OC(=O)[Au]	1
COCC(CO[Cu])OC(=O)[Au]	1
CCC(N[Cu])C(=O)NC(C)CCNC(=O)[Au]	0
COCC(CN(C)CCCO[Cu])OC(=O)[Au]	1
CC(C)OCCN(C)CC(CNC(=O)[Au])O[Cu]	1
COCCCCN(CCNC(=O)[Au])CCO[Cu]	1
CC(CN(CC(=O)O)C(C)CO[Cu])OC(=O)[Au]	0
CCNC(=O)C(O[Cu])C(C)(C)OC(=O)[Au]	0
CSCCNCC(COC(=O)[Au])O[Cu]	1
O=C([Au])OCCSCCOCCO[Cu]	1
NC(CCOC(=O)[Au])=NOCCOCCO[Cu]	1
O=C(CO[Cu])NCCCCCOC(=O)[Au]	1
CCN(CCN[Cu])CC(CNC(=O)[Au])C(C)C	0
CN(CCNC(=O)[Au])C(=O)C(C)(C)N[Cu]	0
C=C(COC(=O)[Au])C(=O)NCCOCCO[Cu]	1
O=C([Au])OCCN(CCO[Cu])CC(F)F	1
CC(C)C(CNCCCO[Cu])OC(=O)[Au]	0
CCC(C)(CN[Cu])C(C)OC(=O)[Au]	0
COCCN(CCOC(=O)[Au])CC(C)O[Cu]	1
O=C([Au])NCCNCCCCCNCCN[Cu]	1
CCCNCCNC(=O)C(CO[Cu])NC(=O)[Au]	0
CC(COCCOC(=O)[Au])OCCO[Cu]	1
O=C([Au])NCCNCCCN[Cu]	1
CS(=O)CCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CO[Cu])(COC(=O)[Au])C(=O)OCC(N)=O	0
O=C([Au])OCCOCCO[Cu]	1
CCCOC(=O)NC(CO[Cu])COC(=O)[Au]	0
CC(CO[Cu])NNC(C)COC(=O)[Au]	0
C=C(COC(=O)[Au])C(=O)N(C)CCCCO[Cu]	1
CC(CNCC(O[Cu])C(C)C)COC(=O)[Au]	0
CN(CCO[Cu])C(=O)CCOC(=O)[Au]	1
CNCCNC(=O)C(CN[Cu])OC(=O)[Au]	0
CC(CCCSC(C)CCO[Cu])OC(=O)[Au]	0
CCC(NC(C)C(C)OC(=O)[Au])C(C)(C)O[Cu]	0
CC(C)=CC(=O)NC(COC(=O)[Au])C(C)O[Cu]	0
CC(C)CC(C)CNC(CO[Cu])COC(=O)[Au]	0
O=C([Au])NC(CCN[Cu])C(=O)O	0
CCC(CCCNC(=O)COC(=O)[Au])O[Cu]	0
CC(=O)CN(CCCO[Cu])CCOC(=O)[Au]	1
CC(=O)N(CC(C)OC(=O)[Au])C(C)CO[Cu]	0
CC(CS(=O)(=O)C(C)C(C)OC(=O)[Au])O[Cu]	0
CN(CC(N)=O)CC(CO[Cu])OC(=O)[Au]	1
CC(C)(CNC(=O)CCN[Cu])NC(=O)[Au]	0
CC(CNCC(C)(C)OCCOC(=O)[Au])O[Cu]	1
O=C([Au])NCCNCCCNCCN[Cu]	1
CC(COC(=O)[Au])CSCCOCCO[Cu]	1
O=C([Au])NCCNCCNCCCN[Cu]	1
CCOCCN(CCO[Cu])CC(C)OC(=O)[Au]	1
CC(CCNC(=O)COC(=O)[Au])O[Cu]	0
CC(C)(CCCNC(=O)[Au])NC(=O)CN[Cu]	0
CCCN(CCOCCO[Cu])CCOC(=O)[Au]	1
CCC(CO[Cu])NC(=O)CC(C)(C)OC(=O)[Au]	0
CN(CCCO[Cu])CCOCCOC(=O)[Au]	1
CC(CNCCCOCCOC(=O)[Au])O[Cu]	1
C=CCOC(=O)N(C)CC(COC(=O)[Au])O[Cu]	0
CC(CNCCCN(C)CCO[Cu])OC(=O)[Au]	1
COCC(CNCC(=O)CCO[Cu])OC(=O)[Au]	0
CC(C)CC(N[Cu])C(OC(=O)[Au])C(=O)O	0
N#CCN(CCCOC(=O)[Au])CCO[Cu]	1
CC(C)(CNCCCCCCNC(=O)[Au])N[Cu]	1
CC(CN(C)CCOCCNC(=O)[Au])N[Cu]	1
CN(CCCCOC(=O)[Au])CCOCCO[Cu]	1
CC(CNCC(C)(OC(=O)[Au])C(C)C)O[Cu]	0
CC(NC(=O)[Au])C(=O)N(C)CC(C)(C)CO[Cu]	0
CCN(CCN[Cu])C(=O)C(NC(=O)[Au])C(C)C	0
C#CCN(C)CC(COC(=O)[Au])O[Cu]	0
C=CCCC(=O)NC(CO[Cu])COC(=O)[Au]	0
C=CC(CO[Cu])NCC(OC(=O)[Au])C(C)C	0
CCCC(CC)NCC(CN[Cu])OC(=O)[Au]	0
CC(CO[Cu])OC(C)COC(=O)[Au]	1
O=C([Au])OCCNNCCO[Cu]	1
CCC(CN(C)CCOCCO[Cu])OC(=O)[Au]	1
CCC(CO[Cu])NC(=O)C(OC(=O)[Au])C(C)C	0
O=C(COC(=O)[Au])NCC(O[Cu])C(F)(F)F	0
CCC(C)N(CC)C(=O)C(CO[Cu])NC(=O)[Au]	0
CCC(C)(CC(=O)NCCO[Cu])OC(=O)[Au]	0
CC(CO[Cu])OC(C)COC(=O)[Au]	1
CC(CC(C)(C)CNC(=O)[Au])O[Cu]	0
COC(=O)C(CO[Cu])NC(=O)[Au]	0
CC(C)(CC(=O)NCCNC(=O)[Au])N[Cu]	0
CCC(C)N(CCO[Cu])CCOC(=O)[Au]	0
CC(C)C(O[Cu])C(=O)N(C)CCOC(=O)[Au]	0
O=C([Au])OCCCSCCOCCO[Cu]	1
CN(CCO[Cu])CCN(C)CCOC(=O)[Au]	1
CON=CC(=O)N(C)CC(CO[Cu])OC(=O)[Au]	0
COC(=O)CC(N[Cu])C(=O)NCCOC(=O)[Au]	0
O=C([Au])NC(CNCCCCN[Cu])CC(F)F	0
CC(CNCC(C)(C)C(C)OC(=O)[Au])O[Cu]	0
CC(CCO[Cu])SCCCCOC(=O)[Au]	1
N#CCN(CCCOC(=O)[Au])CCO[Cu]	1
CC(CCNC(=O)[Au])C(C)N[Cu]	0
O=C(COCCN[Cu])NCCCCOC(=O)[Au]	1
CC(CCO[Cu])NCCCOCCOC(=O)[Au]	0
CCN(CCOC(=O)[Au])CC(C)(O[Cu])C(F)F	0
CCC(CC)(CNC(=O)[Au])NC(=O)C(C)N[Cu]	0
CN(CCCO[Cu])CCOCCOC(=O)[Au]	1
CC(C)OCCN(C)CC(CNC(=O)[Au])O[Cu]	1
CC(O[Cu])C(=O)OCCCOC(=O)[Au]	0
CC(COC(=O)[Au])CSCCCCO[Cu]	1
C=CCN(CCO[Cu])CCOCCOC(=O)[Au]	1
C=CCN(CCC#N)CC(CO[Cu])OC(=O)[Au]	1
CCN(CC(CO[Cu])OC(=O)[Au])C(C)C(C)C	0
CCC(CNS(=O)(=O)CCN[Cu])NC(=O)[Au]	0
CN(CCCCN[Cu])CCOC(=O)[Au]	0
CC(CSCCOCCO[Cu])OC(=O)[Au]	1
O=C([Au])NCCSCCCSCCN[Cu]	1
CC(CC(=O)NCCC(C)(C)NC(=O)[Au])N[Cu]	0
O=C([Au])OCCCCOCCCCO[Cu]	1
COCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CCNC(=O)C(C)(C)N[Cu])OC(=O)[Au]	0
CN(C)C(=O)CNCC(CO[Cu])OC(=O)[Au]	0
COCC(CNC(C)CCO[Cu])OC(=O)[Au]	1
CC(COC(C)COC(C)COC(=O)[Au])O[Cu]	1
CC(CNC(CO[Cu])C(=O)O)OC(=O)[Au]	0
C=CCCCNC(=O)C(CCCN[Cu])NC(=O)[Au]	0
CC(C)(OC(=O)[Au])C(F)CCO[Cu]	0
CCC(CNC(=O)CC(C)(C)O[Cu])OC(=O)[Au]	0
C#CCCCCC(=O)NC(CO[Cu])COC(=O)[Au]	0
CC(CCCNC(=O)[Au])O[Cu]	0
O=C([Au])OCCOCCOCCN[Cu]	1
CCC(CNCCOCCOC(=O)[Au])O[Cu]	1
CCC(CNCC(=O)CCOC(=O)[Au])O[Cu]	0
CC(CCCC(C)(C)O[Cu])CCOC(=O)[Au]	0
O=C(CCCCCOC(=O)[Au])NOCCO[Cu]	1
CC(C)(C)C(CN[Cu])NCCNC(=O)[Au]	0
O=C([Au])NCCOCCOCCOCCN[Cu]	1
C=CCOCC(CNCCCOC(=O)[Au])O[Cu]	1
C=CC(=O)NCC(COC(=O)[Au])O[Cu]	0
CC(CS(=O)(=O)C(C)CCO[Cu])OC(=O)[Au]	0
CC(C)(CNC(=O)CNCCNC(=O)[Au])N[Cu]	0
O=C([Au])OCCN(CCCO[Cu])CC(F)F	1
COC(CNC(=O)[Au])C(=O)NC(C)(C)CN[Cu]	0
C=CC(CO[Cu])NCCCOC(=O)[Au]	1
CS(=O)(=O)CCNCC(COC(=O)[Au])O[Cu]	1
CC(CNCCC#N)(CO[Cu])COC(=O)[Au]	0
CC(CO[Cu])NCCOC(=O)[Au]	1
COCC(CN(C)C(C)COC(=O)[Au])O[Cu]	0
CCC(CN(C)CC(OC(=O)[Au])C(C)C)N[Cu]	0
CCOC(=O)C(COC(=O)[Au])NC(=O)CO[Cu]	0
CC(C)(O[Cu])C(=O)NCC(=O)CCOC(=O)[Au]	0
O=C([Au])OCCCSCCOCCO[Cu]	1
CC(COCCOC(=O)[Au])OCCO[Cu]	1
C=CCCC(CN(C)CCCO[Cu])OC(=O)[Au]	1
CN(CCCCCCOC(=O)[Au])CCCO[Cu]	1
CCC(C)CC(=O)NC(CO[Cu])COC(=O)[Au]	0
CC(CNC(CCOC(=O)[Au])C(C)(C)C)O[Cu]	0
C=CCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CNCCN(C)CCO[Cu])OC(=O)[Au]	1
O=C(CCCF)NCC(COC(=O)[Au])O[Cu]	1
C=CC(CO[Cu])NC(=O)C(C)OC(=O)[Au]	0
C[Si](C)(C)C#CNC(CCCN[Cu])NC(=O)[Au]	0
O=C([Au])OCCN(CCCCF)CCCO[Cu]	0
O=C([Au])OCC(CO[Cu])NCCOCC(F)F	1
CS(=O)(=O)CCNCC(COC(=O)[Au])O[Cu]	1
CCC(CO[Cu])NC(=O)COC(=O)[Au]	0
CC(COC(C)COC(C)COC(=O)[Au])O[Cu]	1
O=C([Au])OCCCCNCCCCO[Cu]	1
CCCN(CCCOC(=O)[Au])CCO[Cu]	1
CC(CNCCOCCCO[Cu])OC(=O)[Au]	1
COCC(CCO[Cu])NC(C)C(C)OC(=O)[Au]	0
O=C([Au])NCCCCCOCCCCCN[Cu]	1
O=C([Au])OCCCNCCCO[Cu]	1
NOC(=O)C(O[Cu])C(OC(=O)[Au])C(=O)ON	0
C#CCCNCC(CC(C)(C)OC(=O)[Au])O[Cu]	0
CC=CCNCC(CC(C)(C)O[Cu])OC(=O)[Au]	0
C=CCCCCCN(CCN[Cu])CCNC(=O)[Au]	1
CC(CNCCC(C)(C)CO[Cu])OC(=O)[Au]	0
COCC(CNC(=O)CCCNC(=O)[Au])O[Cu]	0
CNC(=O)CCN(C)CC(CO[Cu])OC(=O)[Au]	0
CCN(CC(C)C)C(=O)C(CO[Cu])NC(=O)[Au]	0
CC(CCSCC(C)OC(=O)[Au])O[Cu]	0
CC(CO[Cu])OCC(C)OC(=O)[Au]	1
CC(NC(=O)[Au])C(=O)NC(C(=O)O)C(C)O[Cu]	0
COCCN(CC#N)CC(COC(=O)[Au])O[Cu]	1
O=C([Au])NCCOCCOCCN[Cu]	1
CC(COC(=O)[Au])NC(=O)CC(C)(C)O[Cu]	0
CCC(C)N(CCOC(=O)[Au])CCC(C)O[Cu]	0
