mol_smiles	conductivity
O=C(CCO[Cu])NCCCCCOC(=O)[Au]	1
CC(CN(C)CCOCCO[Cu])OC(=O)[Au]	1
CN(CCCN(C)CCOC(=O)[Au])CCO[Cu]	1
NC(=O)C(COC(=O)[Au])NC(=O)CO[Cu]	0
C#CCN(CC#C)CC(COC(=O)[Au])O[Cu]	1
CC(C)(C)NCC(CO[Cu])OC(=O)[Au]	0
O=C([Au])NCCOCCOCCOCCN[Cu]	1
C=C(F)C(=O)NCC(COC(=O)[Au])O[Cu]	0
NS(=O)(=O)NC(CO[Cu])COC(=O)[Au]	0
CCSCCN(CCN[Cu])CCOC(=O)[Au]	1
CC(C)COCCNC(CN[Cu])CNC(=O)[Au]	1
O=C([Au])NCCNCCN[Cu]	1
N#CCCN(CCCOC(=O)[Au])CCO[Cu]	1
COCCOCCNC(CO[Cu])COC(=O)[Au]	1
C=CC(C)(OC(=O)[Au])C(=O)NC(C)CCO[Cu]	0
CCOC(=O)C(COC(=O)[Au])NCC(C)O[Cu]	0
CCOCCCN(CCNC(=O)[Au])CCO[Cu]	1
O=C(CCCCOC(=O)[Au])NCCCCO[Cu]	1
CCOCCN(C)CC(OC(=O)[Au])C(C)O[Cu]	1
O=C([Au])OCCCCO[Cu]	1
CC(NCCN(C)CCOC(=O)[Au])C(C)O[Cu]	1
CSCCNCC(COC(=O)[Au])O[Cu]	1
C=CCCCCCN(CCN[Cu])CCNC(=O)[Au]	1
O=C([Au])NCC(=O)NCCCCCCN[Cu]	0
CC(C)CC(C)(O[Cu])C(=O)NCCNC(=O)[Au]	0
C#CC(C)N(C)CC(CO[Cu])OC(=O)[Au]	0
CCN(CCOCCO[Cu])CCOC(=O)[Au]	1
CC(C)C(O[Cu])C(=O)NCCCOC(=O)[Au]	0
O=C([Au])OCCN(CCF)CCCO[Cu]	1
CC(=O)CN(CCO[Cu])CCOC(=O)[Au]	1
O=C([Au])OCCN(CCF)CCO[Cu]	1
CC(CCO[Cu])SCCCCCOC(=O)[Au]	0
CCC(COC(=O)[Au])C(=O)NCC=CCO[Cu]	0
O=C([Au])NCCOCC(=O)NCCN[Cu]	1
C=CC(O[Cu])C(=O)NC(CC)COC(=O)[Au]	0
C#CCNC(=O)C(CCCCN[Cu])NC(=O)[Au]	0
CCC(CNC(CO[Cu])COC(=O)[Au])OC	0
O=CC(COC(=O)[Au])O[Cu]	0
CSCC(CNCC(C)(C)O[Cu])OC(=O)[Au]	0
CCOCC(CNCC(C)O[Cu])OC(=O)[Au]	0
CN(CCOCCOC(=O)[Au])CC(C)(C)O[Cu]	1
O=C([Au])OCCOCCO[Cu]	1
O=C([Au])OCCNCCNCCO[Cu]	1
COC(CN[Cu])C(=O)NC(C)CNC(=O)[Au]	0
CC(F)(F)CNC(=O)C(COC(=O)[Au])N[Cu]	0
CC(N[Cu])C(=O)NCCOCCCNC(=O)[Au]	0
CC(C)=C(O)C(CO[Cu])OC(=O)[Au]	0
CCC(C(=O)NCC(C)O[Cu])C(C)OC(=O)[Au]	0
CC(CNC(C(=O)O)C(C)OC(=O)[Au])O[Cu]	0
CN(CCCO[Cu])CCCOC(=O)[Au]	1
CC(CC(C)NC(=O)CC(C)NC(=O)[Au])N[Cu]	0
CCN(CCCOC(=O)[Au])CC(C)N[Cu]	0
NC(=O)C(=O)NCC(CO[Cu])OC(=O)[Au]	0
C=CC(CNCCCOCCOC(=O)[Au])O[Cu]	1
CC(=O)C=C(C)NCC(CO[Cu])OC(=O)[Au]	0
C=CCCC(CNC(CC)COC(=O)[Au])O[Cu]	0
