,sample_id,mol_smiles,conductivity
2764,9493,CC(CN[Cu])C(=O)N(C)C(C)CNC(=O)[Au],3.18056004850921e-05
2625,9494,CCC(CO[Cu])NCC(OC(=O)[Au])C(=O)OC,3.66411229287109e-05
2948,9496,COCC(CCO[Cu])NC(C)CCOC(=O)[Au],0.0001157673783555
1043,9497,CC(CN(C)C(=O)CC(C)(C)OC(=O)[Au])O[Cu],1.1722107300115e-05
733,9498,CC(CNC(=O)[Au])CNC(=O)C(C)(C)N[Cu],5.947309698000141e-05
2320,9499,CCCCCC(O[Cu])C(OC(=O)[Au])C(=O)O,1.04311326231899e-05
4463,9500,CC(CCN(C)CCN[Cu])OC(=O)[Au],9.05286495598468e-05
3699,9501,CC(C)N(CC(=O)O)CC(CO[Cu])OC(=O)[Au],5.779761843874829e-05
3640,9502,CC(C)(CCC(=O)NCCN[Cu])NC(=O)[Au],9.005402718756741e-05
4801,9503,CC(COC(=O)[Au])N(C)C(=O)CC(C)(C)O[Cu],3.02739779776e-05
2819,9504,CCC(CNC(=O)CNCCNC(=O)[Au])N[Cu],6.75982822053624e-05
5126,9505,CC(CO[Cu])(COC(=O)[Au])CSCC(N)=O,0.0001065425042468
1637,9506,CC(CNC(=O)[Au])CNC(=O)CC(C)N[Cu],4.59849871777383e-05
2311,9507,CC(O[Cu])C(=O)N(C)CC(C)(C)OC(=O)[Au],2.89583570631136e-05
2684,9508,CCC(NC(=O)[Au])C(=O)NCC(C)N[Cu],3.58837494008026e-05
662,9509,CC(O[Cu])C(NC(=O)[Au])C(O)=NO,3.8395519981723296e-05
5221,9510,CC#CCC(COC(=O)[Au])NCC(C)O[Cu],4.68639040201479e-05
4867,9511,CN(CC(=O)O)CC(COC(=O)[Au])O[Cu],3.82993905952793e-05
3455,9512,CC(C)C(=O)NC(C)(CO[Cu])COC(=O)[Au],4.79205179965089e-05
1759,9513,CC(OC(=O)[Au])C(CO[Cu])NC(=O)C(C)(C)C,4.79895555293641e-05
2291,9514,CC(CN(C)C(C)CO[Cu])OC(=O)[Au],5.5146200932384606e-05
5845,9515,CC(CS(=O)(=O)C(C)CO[Cu])OC(=O)[Au],5.3183579294609e-05
4245,9516,CC(OC(=O)[Au])C(=O)NCC(F)(F)CO[Cu],8.32826730075417e-05
4284,9517,CCC(CO[Cu])NCC(CC)OC(=O)[Au],5.34629836567378e-05
128,9518,CCC(COC(=O)[Au])NC(=O)C(C)(C)CN[Cu],3.12294493663073e-05
4720,9519,CC(CNCCCCCCO[Cu])OC(=O)[Au],6.307233484851619e-05
1673,9521,CCC(CNC(=O)CC(CC)OC(=O)[Au])O[Cu],6.509405246851321e-05
5926,9522,CCC(C)C(=O)NCC(CN[Cu])OC(=O)[Au],2.2983958634644105e-05
2772,9523,CC(CNC(=O)C(C)CNC(=O)[Au])N[Cu],4.15948362267673e-05
1516,9524,CC(CC(C)(C)CNC(=O)CO[Cu])OC(=O)[Au],4.39406670187821e-05
2883,9525,CC(C)(CC#N)CNC(=O)C(CNC(=O)[Au])O[Cu],3.56081985976544e-05
5270,9526,CN(C)CC(=O)NC(C)(CO[Cu])COC(=O)[Au],8.429702432076629e-05
2084,9527,CC(CNC(=O)C(C)C(C)NC(=O)[Au])N[Cu],3.0819394763496005e-05
3618,9529,CC=CC=CC(=O)NC(CO[Cu])C(C)OC(=O)[Au],3.69676513592494e-05
5101,9530,CC(Cl)(CO[Cu])COC(=O)[Au],5.501177654076999e-05
5148,9531,C=CCNC(=O)CNC(CO[Cu])COC(=O)[Au],6.43563631978834e-05
1815,9532,COCC(C)NC(CN[Cu])CNC(=O)[Au],7.28859787083081e-05
3843,9533,CCC(C)NCC(CC(C)(C)OC(=O)[Au])O[Cu],2.07038113429142e-05
3689,9534,CC(NC(=O)[Au])C(C)C(=O)NCCN[Cu],5.11111477517399e-05
4005,9536,C=CC(CNC(COC(=O)[Au])C(F)(F)F)O[Cu],5.66437284104498e-05
4527,9537,CC(C)C(OC(=O)[Au])C(=O)NC(C)(C)CO[Cu],3.219102590254161e-05
3506,9538,C#CC(CO[Cu])NC(=O)[Au],6.10204248273224e-05
2231,9539,CN(CC(C)(C)CN[Cu])C(=O)CCNC(=O)[Au],2.572854207383189e-05
1253,9540,CC(CN(CCCF)CCOC(=O)[Au])O[Cu],7.24360542676229e-05
341,9541,CNCC(C)CNC(=O)C(COC(=O)[Au])N[Cu],7.63757365939506e-05
5468,9542,CC(CO[Cu])(COC(=O)[Au])NC(=O)C(C)(C)C,6.464518797246701e-05
1719,9543,CCC(C#CC#CC=CCO[Cu])OC(=O)[Au],3.29739476001923e-05
3802,9544,CC(C)CN(C)C(=O)CC(CNC(=O)[Au])O[Cu],1.76280829981568e-05
2559,9545,CSC=CC(=O)NC(CO[Cu])COC(=O)[Au],6.43789298193936e-05
928,9546,CC=CCC(CO[Cu])NC(=O)C(C)OC(=O)[Au],3.46572383663547e-05
1598,9547,CC(C)CC(CNC(=O)[Au])NC(=O)C(C)N[Cu],3.7677838323140295e-05
1945,9548,CCCN(CCOC(=O)[Au])CC(C)(C)O[Cu],3.8428607625250895e-05
409,9549,CC(CO[Cu])(COC(=O)[Au])NC(=O)C(C)(F)F,7.62442703352365e-05
5876,9551,CCCC(C)(O[Cu])C(=O)NCCOC(=O)[Au],5.401643375778711e-05
4142,9552,COCC(NC(=O)[Au])C(=O)NC(C)CCN[Cu],4.85507725758893e-05
4483,9553,CCC(C)CC(=O)NCC(CN[Cu])OC(=O)[Au],3.81707459609351e-05
1258,9555,CCC(CC)(CNC(=O)C(C)NC(=O)[Au])N[Cu],4.553077994473471e-05
4031,9556,CCCC(COC(=O)[Au])N[Cu],6.36153994165621e-05
2561,9557,CC(NC(=O)CCNC(=O)[Au])C(C)(C)O[Cu],4.508241414488661e-05
2260,9559,CCC(C)C(N[Cu])C(=O)NCC(C)NC(=O)[Au],2.79680143958425e-05
638,9560,CC=CC=CC(=O)NCC(COC(=O)[Au])O[Cu],9.6233556817938e-05
557,9562,CCCNC(=O)NC(CO[Cu])C(C)OC(=O)[Au],5.87115164128264e-05
1906,9563,CC(CCO[Cu])NCCCOC(=O)[Au],0.0001223981834895
4478,9564,CC(C)(COC(=O)[Au])C(=O)NCCO[Cu],4.67737484546266e-05
1241,9565,CC(C)CC(OC(=O)[Au])C(=O)NCCO[Cu],6.14304266584909e-05
3463,9566,CCNC(=O)NC(CO[Cu])C(C)OC(=O)[Au],6.8553411706708e-05
2199,9567,CC(CCN(C)C(=O)C(C)O[Cu])OC(=O)[Au],3.32363532892334e-05
865,9568,CCN(CC(C)OC)CC(CO[Cu])OC(=O)[Au],7.68871907362685e-05
387,9569,CC(C)C(C)C(=O)NCC(CNC(=O)[Au])O[Cu],3.8229001641407e-05
1917,9570,CC(CNC(=O)C(CC(F)F)NC(=O)[Au])N[Cu],5.57317519017103e-05
4520,9571,CC(CNC(=O)[Au])N(C)C(=O)CCCCN[Cu],4.77264677122936e-05
378,9572,CC(C)C(CCN(C)C(=O)CN[Cu])NC(=O)[Au],4.09994204044208e-05
5480,9573,C=CC(CO[Cu])NCC(C)(OC(=O)[Au])C(F)F,6.33866363171556e-05
4219,9574,C=CC(CNCCC(C)N[Cu])OC(=O)[Au],4.7566393815411215e-05
4323,9575,CN(CCNC(=O)[Au])C(=O)CCN[Cu],5.58191238543334e-05
4462,9577,CC(C)(CNC(=O)CCCCNC(=O)[Au])N[Cu],4.82276438967118e-05
106,9578,COC(=O)N(CCCN[Cu])CCCNC(=O)[Au],7.11127949043424e-05
1175,9579,CC=C(C)C(=O)N(C)CC(COC(=O)[Au])O[Cu],4.276580461120221e-05
1187,9580,CC(CC#N)C(=O)NCC(CNC(=O)[Au])O[Cu],5.95663927508496e-05
246,9581,CN(CC(C)(C)N[Cu])C(=O)CNC(=O)[Au],4.1839881841841706e-05
1213,9583,COCC(CCNC(C)CCO[Cu])OC(=O)[Au],8.84766037260711e-05
2494,9584,CC(CCNCC(C)OC(=O)[Au])O[Cu],4.92842568724197e-05
5145,9585,C=CC=CCCN(CCCO[Cu])CCOC(=O)[Au],9.447187159308e-05
4797,9586,CCC(CNCCC(C)(C)O[Cu])OC(=O)[Au],4.09567542830625e-05
3828,9587,CC(CCNC(=O)C(C)C(C)N[Cu])NC(=O)[Au],4.94173118453647e-05
5081,9588,CC(CO[Cu])NC(=O)C(C)(C)COC(=O)[Au],6.1420666765699e-05
5895,9589,CCN(CCNC(=O)[Au])C(=O)C(C)(C)N[Cu],3.11710050757923e-05
663,9590,CC(NC(=O)[Au])C(=O)NC(C)(CN[Cu])C(C)C,3.9279014945006896e-05
88,9591,CC(C)C(CO[Cu])NC(=O)C(C)(C)OC(=O)[Au],7.742661231668381e-05
583,9592,CCCCCC(O[Cu])C(C)COC(=O)[Au],2.839131930391531e-05
5867,9594,CCC(CO[Cu])N(C)C(=O)COC(=O)[Au],5.096175030237321e-05
3410,9595,CCC(C)(CCO[Cu])NC(=O)COC(=O)[Au],2.8519347737267305e-05
3312,9596,O=C(CCCCCOC(=O)[Au])NCCN[Cu],6.25813168738481e-05
